SampleTime,startTimeslot,maximumCapacity,bookings,availableCapacity,hasAvailability,location_id,postal_code,city,active
2022-02-06 15:58:41,2022-02-06 16:15:00+00:00,10,0,10,True,seething-trellis,1078,Amsterdam,True
2022-02-06 15:58:41,2022-02-06 16:15:00+00:00,18,0,18,True,adjacent-string,4815,Breda,True
2022-02-06 15:58:41,2022-02-06 16:15:00+00:00,10,2,8,True,generative-abscissa,3817,Amersfoort,True
2022-02-06 15:58:41,2022-02-06 16:15:00+00:00,0,0,0,False,brass-branch,7202,Zutphen,True
2022-02-06 15:58:41,2022-02-06 16:15:00+00:00,10,0,10,True,random-tropics,2182,Hillegom,True
2022-02-06 15:58:41,2022-02-06 16:15:00+00:00,6,0,6,True,many-sofa,5121,Rijen,True
2022-02-06 15:58:41,2022-02-06 16:15:00+00:00,0,0,0,False,augmenting-step,1271,Huizen,True
2022-02-06 15:58:41,2022-02-06 16:15:00+00:00,0,0,0,False,internal-class,4104,Culemborg,True
2022-02-06 15:58:41,2022-02-06 16:15:00+00:00,12,0,12,True,optimal-template,6545,Nijmegen,True
2022-02-06 15:58:41,2022-02-06 16:15:00+00:00,0,0,0,False,weathered-bronze,3439,Nieuwegein,True
2022-02-06 15:58:41,2022-02-06 16:15:00+00:00,12,0,12,True,glossy-arneis,5342,Oss,True
2022-02-06 15:58:41,2022-02-06 16:15:00+00:00,25,0,25,True,investor-refresh,8013,Zwolle,True
2022-02-06 15:58:41,2022-02-06 16:15:00+00:00,18,1,17,True,warm-cash,3044,Rotterdam,True
2022-02-06 15:58:41,2022-02-06 16:30:00+00:00,0,0,0,False,nimble-ottoman,7544,Enschede,True
2022-02-06 15:58:41,2022-02-06 16:30:00+00:00,12,1,11,True,glossy-arneis,5342,Oss,True
2022-02-06 15:58:41,2022-02-06 16:30:00+00:00,0,0,0,False,oily-wire,3769,Soesterberg,True
2022-02-06 15:58:41,2022-02-06 16:30:00+00:00,18,0,18,True,adjacent-string,4815,Breda,True
2022-02-06 15:58:41,2022-02-06 16:30:00+00:00,10,6,4,True,seething-trellis,1078,Amsterdam,True
